USA,223,New York,1,22.861
USA,223,New York,2,22.861
USA,223,New York,3,22.861
USA,223,New York,4,24.240
USA,223,New York,5,27.000
United Kingdom,222,London,1,4.950
United Kingdom,222,London,2,5.456
United Kingdom,222,London,3,10.065
United Kingdom,222,London,4,11.385
United Kingdom,222,London,5,10.197
UAE,221,Dubai,1,1.331
UAE,221,Dubai,2,1.747
UAE,221,Dubai,3,2.161
UAE,221,Dubai,4,2.575
UAE,221,Dubai,5,2.989
Saudi,178,Makkah,1,11.220
Saudi,178,Makkah,2,5.073
Saudi,178,Makkah,3,20.295
Saudi,178,Makkah,4,22.275
Saudi,178,Makkah,5,9.685
New Zealand,151,Auckland,1,11.220
New Zealand,151,Auckland,2,12.700
New Zealand,151,Auckland,3,24.255
New Zealand,151,Auckland,4,27.225
New Zealand,151,Auckland,5,20.917
Malaysia,126,Kuala Lumpur,1,7.255
Malaysia,126,Kuala Lumpur,2,9.457
Malaysia,126,Kuala Lumpur,3,16.170
Malaysia,126,Kuala Lumpur,4,18.480
Malaysia,126,Kuala Lumpur,5,16.061
India,95,Mumbai,1,7.255
India,95,Mumbai,2,11.550
India,95,Mumbai,3,14.190
India,95,Mumbai,4,14.355
India,95,Mumbai,5,16.005
Germany,76,Berlin,1,7.590
Germany,76,Berlin,2,6.349
Germany,76,Berlin,3,15.015
Germany,76,Berlin,4,15.345
Germany,76,Berlin,5,11.464
Australia,12,Canberra,1,9.240
Australia,12,Canberra,2,6.654
Australia,12,Canberra,3,18.810
Australia,12,Canberra,4,21.285
Australia,12,Canberra,5,11.038
